company,invoice_num,invoice_date,operation_date,amount,reporter,notes,status,kind
 Ostrzy Entertainment,O79137,03/05/2014,03/03/2014,18866.95,Timmy Rosenbaum,Similique sint rerum dolorem.,other,client;important
 TT Internet,T97644,2012-12-09,2012-12-08,15681.31,Kaleb Rempel,Consequatur aperiam illum quis.,rejected,internal;Client;Delegation;negligible;important
 Comcast,C80465,01-07-2013,28-06-2013,13112.93,Kirstin Veum,Rerum est in impedit dolores est illo.,accepted,Negligible;Client;important;internal;delegation
KT Koty,K42613,2015-03-05,2015-02-26,15805.67,Miss Marjory Renner,Et eius totam.,other,""
 Big Company 1,B98036,03/10/2015,03/08/2015,13122.70,Rubie Wunsch,Et aliquam perferendis sed nihil.,rejected,important
TT Internet,T6551,2014-05-24,2014-05-20,14004.67,Margret Baumbach,Ut atque rerum molestiae aut.,other,important;Other;delegation
 ACME,A99236,14-11-2012,05-11-2012,11350.82,Devan Feil,"Delectus quam quisquam consequuntur unde temporibus repudiandae.
Quaerat perspiciatis porro.",other,Other;negligible
 Ostrzy Entertainment,O13381,14-10-2013,12-10-2013,11795.59,Natasha Stracke,Expedita placeat nisi.,other,client;internal;important;Delegation
 Microsoft,M78603,04/17/2013,04/17/2013,17951.81,Omari Champlin,Laborum minima sit.,other,Client;delegation
Ostrzy Entertainment,O49880,12-11-2013,09-11-2013,11790.54,Herminia Zemlak IV,"Eum in aut ratione.
Voluptatibus distinctio eaque voluptas beatae tempore id.
Omnis quibusdam dolores ad consequatur enim.
Id ex in suscipit sunt est magnam omnis.",other,client;Internal;other
 Comcast,C47225,03/30/2014,03/23/2014,11184.0,Luella Torphy,Placeat eos facilis nobis.,accepted,Internal;negligible;Delegation;other;Important
Ostrzy Entertainment,O77335,2013-09-30,2013-09-26,10399.42,Mavis Carter,Minus ut sapiente odio.,other,delegation;client;internal
KT Koty,K74637,27-12-2014,26-12-2014,15432.47,Velda Vandervort,Est laboriosam sunt quia.,accepted,internal;important;other;Client;negligible
"Monterail, Inc.",M91712,02/17/2013,02/08/2013,19194.23,Akeem Kris,Quaerat quis ducimus.,rejected,client;negligible;Internal;other
" Monterail, Inc.",M27988,30-07-2014,25-07-2014,10301.20,Janis Smith,"Eum autem corporis occaecati.
Sunt aliquam aperiam enim rerum ipsa.
Voluptatem ex saepe et corporis cumque error quo.
Et nam fugiat consequatur dolor et.",accepted,important
 BP Biznes,B47598,11/29/2013,11/26/2013,15887.48,Mrs. Brandi Adams,Molestias cumque sit nisi commodi cupiditate.,accepted,negligible
 Microsoft,M5356,2014-10-01,2014-09-22,19281.59,Miss Rosendo Bogisich,"Omnis enim voluptatem.
Sit laborum perferendis eum.
Aspernatur et omnis voluptas non ea voluptatibus.",rejected,other;internal;client;Negligible
SB Komputery,S51953,03/30/2014,03/22/2014,15679.94,Ms. Pierre Mohr,Et autem excepturi quis.,rejected,Important;delegation;negligible;Client
Ostrzy Entertainment,O25968,2014-08-06,2014-07-30,11765.55,Manuela Price,"Tempore officiis quasi mollitia enim aut.
Est dolorum accusamus eius ipsum id.
Iusto sed architecto.
Rem natus animi mollitia expedita deserunt consequatur eos.",accepted,delegation;Negligible;other;client;Important
 Comcast,C48658,2013-03-31,2013-03-25,19737.9,Ruby Boyle,"Dolore non mollitia corporis molestiae et.
Aliquid ex pariatur deleniti accusantium.
Quo deserunt beatae explicabo totam.",accepted,""
" Monterail, Inc.",M5183,09/11/2012,09/02/2012,18853.38,Chadrick Purdy,"Commodi veritatis nesciunt.
Dignissimos eos assumenda ullam facilis delectus.",rejected,Internal;Client;important;Other
 TT Internet,T71262,17-12-2014,14-12-2014,12624.53,Verna Trantow,Aut aut amet reprehenderit animi nobis.,rejected,Important
ACME,A53189,2013-12-10,2013-12-01,16746.24,Patsy Dickens,Laudantium aliquid ipsa ipsam doloremque.,accepted,internal;important;delegation;negligible
 SB Komputery,S18379,01/30/2014,01/24/2014,13539.9,Gianni Purdy,"Iure velit deleniti.
Earum ducimus soluta numquam.",rejected,important;delegation
 ACME,A31076,2013-12-09,2013-12-07,10902.55,Dr. Eudora Hegmann,"Iure accusamus itaque veniam minus.
Qui culpa quaerat.
Nulla impedit fugiat.
Assumenda id minima rerum aspernatur voluptas quibusdam veniam.",accepted,internal;negligible;Important;client;delegation
Company X,C32048,09-07-2013,04-07-2013,15066.81,Luciano Predovic,"Mollitia fuga id aut fugit dolorum nihil possimus.
Qui velit autem nostrum dolores iusto qui rerum.",accepted,client
 ACME,A3924,04/04/2013,04/01/2013,18711.70,Dax Carroll,Et reprehenderit ad sit tempore.,accepted,Important;other
ACME,A40826,04/20/2013,04/18/2013,18626.40,Edmund Rowe,"Sit quisquam vel sed.
Odit accusantium sint veniam eos dolores.
Aut saepe doloribus quisquam.",other,Other;delegation
BP Biznes,B40543,2014-10-16,2014-10-10,16701.43,Avis Schiller,Hic iure quia quia qui illum quo corrupti.,rejected,""
SB Komputery,S2076,2013-10-14,2013-10-11,19689.34,Antoinette Jerde Jr.,Cupiditate error facere.,rejected,delegation
 KT Koty,K63801,11-07-2013,11-07-2013,17369.48,Carol Kozey,Iure corporis et laboriosam.,other,""
Company X,C36222,03/15/2014,03/09/2014,19147.22,Timmothy Romaguera,,rejected,Internal;Other
KT Koty,K97818,29-11-2013,25-11-2013,18994.70,Marquise Kunze IV,Eum dignissimos aut officia ut ratione iure et.,rejected,Important;delegation
ACME,A8182,13-12-2014,13-12-2014,13992.28,Aniya Gibson,Rerum nulla numquam fugiat deleniti.,accepted,""
Wesoła Gżegżółka,W49495,2012-12-22,2012-12-13,19517.37,Isaiah Sawayn,"Fuga perferendis qui nulla et.
Voluptas blanditiis dicta.",accepted,client;internal;delegation
TT Internet,T76382,05/10/2013,05/07/2013,16134.16,Abbie Gulgowski,Aliquid qui libero.,rejected,internal;other;important;client;delegation
" Monterail, Inc.",M18553,06/23/2014,06/16/2014,18312.18,Miss Isobel Roob,Quas consequatur tempora.,accepted,""
Microsoft,M70284,2015-01-05,2014-12-31,18148.1,Eliezer Kunze Sr.,Non esse repellat commodi beatae.,accepted,Internal;Client;important
 SB Komputery,S69324,2013-09-08,2013-09-02,13471.51,Dr. Coby Dicki,"Excepturi ipsum et mollitia nihil voluptas.
Qui aut consequuntur blanditiis.
Consequuntur ut porro dolorum et nihil.
Quibusdam fugiat debitis quia minus consequuntur consequatur est.",accepted,client;delegation;other;important;negligible
KT Koty,K55028,09/11/2013,09/03/2013,12959.95,Nickolas Kessler,"Est quo corrupti voluptate quia tenetur.
Optio repellendus nemo sunt qui est.
Placeat nesciunt culpa rem ut vel corporis rerum.",accepted,Client
Microsoft,M21670,2013-02-10,2013-02-05,13803.73,Gerardo Walsh Jr.,Vitae dolorum nihil temporibus.,accepted,important;delegation;internal;other;Negligible
SB Komputery,S47558,21-01-2013,14-01-2013,11013.21,Ms. Abby Schmeler,"Aliquam iste id consectetur nulla.
Ratione vel asperiores et expedita tempore totam.
Ex id veniam.
Exercitationem libero commodi totam.",accepted,important;negligible
 KT Koty,K60110,20-08-2013,11-08-2013,12430.20,Ottis Purdy,Et suscipit quidem dolores temporibus adipisci vero.,other,other;client;internal;delegation;Negligible
SB Komputery,S47890,2012-12-15,2012-12-08,15382.64,Samanta Heaney,"Fuga illo quis sapiente molestias cumque rerum natus.
Rerum fuga nostrum optio est repudiandae eos facere.",rejected,important;Negligible;Delegation;internal
 TT Internet,T96685,2012-11-29,2012-11-21,19661.80,Ali Kunze,Et amet vel quo praesentium sint et libero.,other,""
MS Szpadel,M98096,12/24/2012,12/22/2012,14994.45,Lowell O'Conner III,"Dolor repellendus cum.
Voluptatem molestias illum id.
Optio voluptatem dolore quia.
Iusto suscipit qui neque quam impedit dignissimos sequi.",other,Client;Delegation
Microsoft,M77820,2014-12-24,2014-12-15,18524.47,Ellen Lehner,"Et in consequatur esse in deserunt quidem suscipit.
Sunt ipsam ex.",rejected,delegation
Microsoft,M98919,2013-04-23,2013-04-18,16015.26,Elissa Pouros,Sit odio tempora dignissimos qui.,other,internal;client;negligible
 MS Szpadel,M30392,04/14/2015,04/14/2015,13403.60,Miss Kian Hahn,Et nostrum omnis.,accepted,delegation;client;important;Other
Microsoft,M48977,05/17/2015,05/14/2015,12248.56,Mr. Denis Koch,"Provident nostrum laboriosam odit esse et reprehenderit ut.
Provident nihil dolorem voluptatem explicabo dolor.
Sequi quia distinctio.
Iste qui nemo esse voluptatem.",other,other;internal
" Monterail, Inc.",M52358,09/08/2014,09/03/2014,19035.97,Mrs. Veronica Brekke,Tempora minima ad possimus rerum perferendis.,accepted,Client;Delegation;important;Negligible;Other
 TT Internet,T10605,24-01-2014,24-01-2014,19222.52,Miss Kariane Stanton,"Alias at sint soluta molestias eum nihil iure.
Est doloremque maxime ut voluptatem officiis distinctio.",other,""
 Ostrzy Entertainment,O74653,2013-06-03,2013-06-02,14893.89,Heather Kovacek,"Rem non quod.
Similique voluptatem nemo perferendis eos debitis velit nesciunt.
Aspernatur maxime at culpa id et sed inventore.",accepted,Client;Other
 Comcast,C27066,02/28/2015,02/26/2015,16079.38,Owen Tremblay,Sapiente sequi qui accusamus debitis est architecto minus.,rejected,delegation;internal;client;other
Big Company 1,B20774,11-02-2015,04-02-2015,13719.53,Mable Ankunding Sr.,Itaque aut ad dolores ut aliquid.,other,Important;internal;delegation;Negligible
 BP Biznes,B43916,10-08-2013,07-08-2013,16516.50,Brenden Schaefer,"Natus ipsam minus non dolorum ut.
Iste totam est est itaque et rerum tenetur.
Beatae repudiandae iure dignissimos sed autem aliquid ducimus.
Fugiat qui accusantium beatae et ratione sapiente vel.",rejected,important;Delegation
Ostrzy Entertainment,O64851,10/06/2014,10/02/2014,17390.57,Enos Eichmann,Qui et delectus totam accusamus ea repudiandae.,accepted,delegation;Client;important;internal
ACME,A63641,27-09-2014,21-09-2014,17279.63,Moshe Reichert,Totam quo culpa sint beatae.,accepted,""
 BP Biznes,B4392,18-03-2014,15-03-2014,13814.69,Erik Grant DDS,Id possimus et ex assumenda.,other,client
 MS Szpadel,M84673,2013-11-20,2013-11-15,10118.69,Grady Hagenes,Corrupti in voluptatibus similique.,accepted,client;Internal;Important;negligible
KT Koty,K91890,01-04-2013,01-04-2013,15577.39,Karley Price,Ut numquam corrupti ea aut.,other,other;delegation;Internal;important
Ostrzy Entertainment,O36165,22-03-2015,14-03-2015,13978.84,Annabell Kuhlman,Et distinctio qui in odit aut unde.,accepted,negligible
 Comcast,C18420,2013-09-19,2013-09-14,19863.34,Horace Schmidt,Ex aliquid voluptatem explicabo reiciendis excepturi quia.,other,client;internal;other;negligible
SB Komputery,S63153,2013-10-20,2013-10-14,17318.10,Ms. Hilda Cormier,Error ipsa sequi.,other,""
 MS Szpadel,M3841,04/26/2013,04/21/2013,14701.67,Retta Kuhlman,Et molestiae inventore.,rejected,""
TT Internet,T14908,06-10-2013,06-10-2013,14642.58,Brody Friesen,Sapiente iste ea quaerat maxime delectus distinctio ea.,rejected,internal;delegation;Other
BP Biznes,B12463,2013-06-18,2013-06-18,12734.70,Deon Douglas,Omnis tenetur quo consequatur nihil a.,rejected,other;Client;Internal
 Comcast,C93576,2014-02-08,2014-02-03,12242.52,Ms. Judah Windler,"Ut inventore deleniti sit laborum et nihil molestiae.
Et voluptate impedit dolorem sint.
Maiores et aliquam.
Aperiam voluptatem ut nihil.",rejected,Delegation;Client
Comcast,C56341,2013-11-23,2013-11-22,14963.25,Cristina Powlowski,Dignissimos sint quasi officiis nostrum earum ad.,accepted,delegation;internal;Other
 BP Biznes,B12121,18-09-2014,18-09-2014,17417.30,Bradley Lebsack,Non dolorem a.,rejected,""
Company X,C2276,12/30/2012,12/23/2012,12171.75,Cary Swaniawski Jr.,Eveniet ex porro iure sed aut occaecati neque.,accepted,client;delegation;Internal;Other
TT Internet,T49427,18-09-2013,13-09-2013,19082.91,Bobbie Price,"Alias itaque sunt deleniti eos repellat.
Et voluptas ut dignissimos non.",rejected,Internal
 TT Internet,T43287,05/24/2013,05/17/2013,17876.70,Antone Welch,Quis aut facilis eligendi possimus qui est.,rejected,other;important;delegation;Negligible;client
SB Komputery,S55473,21-04-2013,21-04-2013,10919.13,Mrs. Gonzalo Krajcik,Cumque praesentium quo.,accepted,other;important;Delegation
 Big Company 1,B98339,2014-05-19,2014-05-17,10306.44,Jade Brekke I,Voluptatem est qui.,other,""
 Wesoła Gżegżółka,W67367,05/01/2015,04/22/2015,14259.93,Otho Cronin,"Numquam vero possimus.
Omnis hic itaque.",rejected,Important
 Comcast,C36563,03/31/2013,03/23/2013,17869.47,Winifred Durgan V,"Ea alias error reprehenderit quo.
Ut quisquam placeat vitae.
Debitis saepe placeat rerum autem fugit.",other,Important;negligible
"Monterail, Inc.",M79027,2014-08-17,2014-08-10,14552.35,Kian Tromp,Ipsam alias aut dolores ea non.,rejected,""
 MS Szpadel,M17855,04-12-2012,25-11-2012,11398.58,Ms. Kayden Nader,Corporis similique optio doloremque eum modi.,other,Important;negligible;client;other
" Monterail, Inc.",M48699,04/04/2013,03/27/2013,15927.92,Major Goldner,Ipsum vitae alias odit nostrum atque.,other,delegation;Other;important;internal;Negligible
SB Komputery,S89982,04/01/2014,03/29/2014,12182.4,Adaline Harber V,Accusantium aperiam eos officiis quia illum sint.,rejected,""
BP Biznes,B31822,08/02/2013,07/25/2013,15853.80,Mrs. Oswald Cremin,Facere molestiae enim.,accepted,delegation;Negligible;internal;other;important
 TT Internet,T28634,2014-10-16,2014-10-11,12314.93,Elisha Mante Sr.,"Provident quos consequatur occaecati est.
Vel consequatur harum exercitationem odit ut est.
Libero aut repudiandae nihil et qui et consequuntur.
Sed qui asperiores harum voluptatem in quis.",accepted,other;Negligible
SB Komputery,S96112,02/09/2014,02/02/2014,15132.26,Helene Franecki IV,Veritatis dolor ea quod iure voluptatem velit.,other,Delegation;Internal;client;Other
"Monterail, Inc.",M90106,20-01-2014,15-01-2014,18194.7,Mr. Kaitlyn Sauer,"Ea dolor nam.
Rerum ipsam laudantium rerum.
Temporibus vero minus in.",rejected,""
BP Biznes,B13972,29-04-2013,21-04-2013,16501.62,Delphia Mills,Eos soluta velit voluptatem.,other,important;delegation;negligible
" Monterail, Inc.",M78812,11/13/2012,11/07/2012,18187.71,Icie Green,Saepe ut adipisci facere animi.,other,negligible;delegation
MS Szpadel,M6937,05-03-2014,03-03-2014,10142.57,Alanna Wisoky DVM,Et fuga atque pariatur molestias doloremque.,other,Other;internal;delegation;negligible;client
Microsoft,M1337,01/27/2015,01/27/2015,14320.85,Christophe Upton,"Quo est molestiae enim sint dolorem vitae.
Saepe nam ut earum.
Qui quo fugiat rerum voluptatibus ut repudiandae.
Voluptas laborum voluptate sint.",accepted,""
Big Company 1,B52332,2014-03-07,2014-02-27,18190.82,Mellie Wehner Jr.,Illum eos deleniti quia vitae exercitationem modi aut.,other,client;important
 Ostrzy Entertainment,O5228,2013-08-02,2013-07-30,13884.63,Sienna Gislason,"Ut ut delectus reprehenderit illo expedita earum omnis.
Ut ad et.
Dolore doloribus laboriosam.
Qui dolores minus enim officia aut omnis nesciunt.",rejected,other;Delegation
MS Szpadel,M98965,05/12/2015,05/11/2015,14194.28,Miss Aric Raynor,Error aliquid saepe maxime aut voluptatem excepturi.,accepted,Important
 Microsoft,M56375,12/03/2014,12/01/2014,13250.58,Justine Waelchi,Voluptatem eius molestiae autem non.,accepted,other;negligible;important;client;Internal
Comcast,C17285,2014-10-28,2014-10-19,13595.54,Rebeca Von,Neque ab sed voluptatibus enim dignissimos.,other,Delegation;important;other;Negligible
BP Biznes,B66695,02/12/2013,02/07/2013,19726.78,Velma Larson,"Id distinctio est esse omnis.
Adipisci ut modi laborum quo soluta culpa voluptatem.",rejected,Other;negligible;delegation;internal;Important
Comcast,C75833,11/01/2014,10/24/2014,14442.18,Norma Lind,"Qui est excepturi voluptas voluptatem totam.
Explicabo illo saepe dolores illum ea.",accepted,""
 Wesoła Gżegżółka,W4455,2013-04-17,2013-04-13,19767.41,Breanne Collins PhD,Qui debitis necessitatibus non qui unde.,rejected,other
Company X,C14132,03/03/2015,02/24/2015,14982.97,Cassie Schoen,Error voluptatem id.,rejected,negligible
 Wesoła Gżegżółka,W22736,07/15/2013,07/11/2013,18624.88,Sydnie Simonis,"Ullam in aut.
Consequatur itaque ab harum eius unde autem.
Consequatur corrupti placeat maiores ab.",rejected,Important;negligible
Company X,C31895,04-04-2014,01-04-2014,15258.23,Ms. Elna Ondricka,"Sint quia at modi doloremque quae quos.
Soluta esse nihil delectus ut in id id.",rejected,Important;client
 Comcast,C10443,2014-01-19,2014-01-14,10543.78,Alba Witting,Aut exercitationem tenetur tempore at ducimus et.,accepted,delegation;important;Internal;other
 Wesoła Gżegżółka,W45872,04/09/2015,04/04/2015,13521.74,Winnifred Will DDS,"Consequatur quos quasi recusandae nam.
Incidunt ut necessitatibus eius.",accepted,important;negligible
ACME,A34946,02-09-2014,02-09-2014,10545.19,Christina Rippin II,Qui tempore repellendus aut quo sunt at.,rejected,Delegation;other;important;client
" Monterail, Inc.",M72435,01/10/2015,01/04/2015,13733.66,Sincere Runte,Et dolor aut sint eveniet ab rerum.,other,negligible;other;Important
 Microsoft,M97919,18-04-2015,12-04-2015,13364.44,Cloyd Metz,"Sunt dolores est omnis qui eum.
Quibusdam beatae hic maxime.
Occaecati eius blanditiis ut totam cupiditate ullam perferendis.",accepted,client;important;other;internal;delegation
KT Koty,K64404,2012-12-12,2012-12-12,15103.86,Dr. Rocky Klocko,Sed non ipsam.,rejected,other;delegation
 Company X,C56633,11-11-2012,11-11-2012,13088.52,Kyle Cronin,Quia placeat harum quo.,rejected,delegation;internal;Client
 Comcast,C92957,2013-03-04,2013-02-23,17827.24,Jimmie Kohler,Dignissimos aspernatur est voluptates.,other,negligible;important;Client;other;Internal
 MS Szpadel,M63146,04/08/2013,04/06/2013,17763.75,Miss Ransom Donnelly,Odit non ipsam eligendi dolor et aperiam voluptatum.,accepted,client;other;internal;delegation
 Ostrzy Entertainment,O53244,2015-05-26,2015-05-19,18125.31,Ariel Denesik,Et beatae voluptatem accusantium quia quisquam eius ab.,accepted,delegation
SB Komputery,S70133,22-12-2014,14-12-2014,18422.51,Bill Rau MD,Eligendi fuga ab.,accepted,Important;Negligible
 MS Szpadel,M5050,2012-10-30,2012-10-23,10051.80,Julia Borer,Totam nesciunt ad quas blanditiis assumenda.,accepted,other;internal;Client
 Big Company 1,B11023,2015-04-10,2015-04-03,17354.20,Brooklyn McGlynn,Aperiam aut sed amet adipisci laborum minus aut.,other,Client;important;Internal;other
" Monterail, Inc.",M81287,04/28/2014,04/22/2014,11332.76,Andy Willms,Iste eaque voluptatem.,other,client;delegation;negligible;Important;internal
Big Company 1,B19553,13-02-2015,05-02-2015,19055.14,Adrain Sipes,Sed inventore quo sint quod.,other,negligible;important;Client;other
 KT Koty,K36563,08/22/2013,08/13/2013,18618.96,Bernhard Koss,Velit unde nam qui tenetur rerum.,accepted,other;client;important;negligible
Ostrzy Entertainment,O77582,07/31/2013,07/23/2013,19526.92,Alessandra Upton DVM,"Et ea adipisci quia voluptatem eius minus.
Maiores libero illum fugiat blanditiis nihil ut.
Esse assumenda illo.",other,negligible;client;Internal;Important;delegation
 MS Szpadel,M62553,2015-05-15,2015-05-07,16696.60,Newton DuBuque,Ut assumenda inventore sed culpa.,accepted,""
Ostrzy Entertainment,O89974,2013-11-13,2013-11-09,13961.94,Hobart Kilback,Asperiores quidem animi ratione.,accepted,""
 Big Company 1,B874,2014-03-08,2014-02-27,18717.42,Amelia Walter MD,Nihil debitis doloribus dolorum libero.,accepted,delegation
 Wesoła Gżegżółka,W77102,2013-02-25,2013-02-23,14175.33,Edgardo Hammes MD,Sit voluptatem error.,accepted,internal;important;client;negligible;other
Microsoft,M82337,19-02-2015,11-02-2015,18760.55,Tate Franecki,Et voluptatem optio cumque atque qui.,rejected,internal;negligible;Important;Client
 Microsoft,M49377,15-03-2015,09-03-2015,17049.76,Ada McKenzie,Aperiam consequatur ut perspiciatis neque distinctio eius sint.,accepted,Important
 BP Biznes,B97395,01/11/2013,01/04/2013,17658.53,Jefferey Raynor V,Quia rerum id qui debitis.,accepted,important;client
 ACME,A3703,2013-03-11,2013-03-08,17978.52,Geraldine Hane,Quos est officiis magnam molestiae provident.,accepted,""
Big Company 1,B30353,27-12-2013,21-12-2013,14596.12,Roslyn Kling,Rerum laboriosam omnis dignissimos modi non voluptates aspernatur.,accepted,client;negligible;other;Internal
Ostrzy Entertainment,O30177,21-01-2013,14-01-2013,11835.4,Sebastian Mills II,Dolor eum totam qui.,rejected,""
 TT Internet,T14922,11/17/2014,11/12/2014,13388.70,Ariel Abbott,"Ut debitis architecto placeat est.
Omnis nemo ut qui ipsa iusto.
Nam ab doloribus expedita architecto.
Officia mollitia id consequatur recusandae tempore.",accepted,delegation;Internal;other;important;negligible
Microsoft,M21636,02/15/2014,02/09/2014,16386.81,Eryn Walsh,Qui voluptate ut nulla.,other,negligible
 ACME,A57718,09/09/2014,09/02/2014,11449.63,Cassie Gaylord,Consectetur voluptas ut itaque.,other,important;delegation
 Wesoła Gżegżółka,W20353,14-05-2015,13-05-2015,11286.65,Camren Mitchell,Iusto modi maiores animi eaque odio.,other,other;internal;delegation;important;client
 ACME,A73044,11-05-2014,08-05-2014,13420.57,Layne Torp,Beatae qui nobis eum voluptatem.,other,""
Microsoft,M96702,14-06-2013,14-06-2013,11743.14,Ms. Franco Macejkovic,Odio sapiente ducimus.,other,negligible;internal
TT Internet,T1919,2013-11-02,2013-10-29,,Brianne Kessler,"Accusamus dolores officiis distinctio at perspiciatis magnam.
Tempora molestiae velit laboriosam totam nesciunt quaerat.
Excepturi tenetur sequi sint earum ratione facere nulla.",accepted,negligible;important;Delegation;client;Other
 BP Biznes,B42421,25-12-2012,18-12-2012,15305.26,Cooper Fadel,"Et hic debitis itaque magni ex architecto est.
Necessitatibus magni corporis.",other,negligible;other
 Ostrzy Entertainment,O45350,12/24/2014,12/20/2014,17344.51,Sydni Mayer,Perferendis omnis incidunt et ut ipsam ut.,other,client;other;delegation
Big Company 1,B89546,20-09-2014,19-09-2014,18602.46,Mina Stamm IV,Qui esse accusantium facilis molestias.,rejected,""
Ostrzy Entertainment,O97344,2012-12-06,2012-12-03,16499.11,Norwood Maggio,"Iure quibusdam quisquam.
Optio consequatur praesentium.
Ea ullam delectus vitae vel illum doloribus recusandae.",accepted,important;Negligible;Other;internal
 BP Biznes,B58797,07/17/2013,07/13/2013,12507.20,Verona Ferry,Illo ut aliquid velit dolorem aliquam voluptatum.,other,internal;other;Delegation;client
 Company X,C91312,01/19/2013,01/18/2013,11100.26,Rosalee Harvey,Ut occaecati labore sunt et et.,other,Client
 Comcast,C66211,05/14/2013,05/11/2013,11066.63,Gay Wilkinson DVM,"Omnis asperiores numquam id.
Harum nihil aut quia sequi voluptate qui.
Quo corrupti alias voluptas qui.",rejected,other;important
Ostrzy Entertainment,O90128,23-04-2013,15-04-2013,19437.74,Claudia Jerde,"Aut reprehenderit inventore ratione cumque maxime consectetur.
Vel incidunt dolor assumenda odit unde ab beatae.",accepted,Important;internal;Other;Negligible
MS Szpadel,M65063,12/29/2012,12/22/2012,12323.92,Mrs. Pablo Larkin,Aut est nihil excepturi.,other,""
Wesoła Gżegżółka,W13916,2015-05-05,2015-05-05,17088.62,Benjamin Cole,"Dolores nulla sed consectetur sit eos voluptas.
Ducimus consequatur officiis.
Omnis consequatur est et pariatur voluptas distinctio odit.
Quia et harum aliquid et voluptatem.",other,""
BP Biznes,B4159,07-01-2014,31-12-2013,14770.29,Domenico Dickens,Ipsum sequi nam reiciendis rerum in aliquid eligendi.,rejected,internal
 KT Koty,K14723,2014-09-05,2014-08-28,19775.4,Yolanda Heathcote,Quae explicabo ut aspernatur et harum aut.,accepted,delegation;negligible;important
 SB Komputery,S84356,05/18/2014,05/09/2014,14563.96,Javier Wuckert,Voluptates consequuntur voluptas quis dignissimos in et officiis.,other,internal
 MS Szpadel,M74024,2014-09-03,2014-08-27,15428.84,Don Anderson,Ut blanditiis aut assumenda odio dolores ad accusantium.,accepted,important;negligible;delegation;internal;other
TT Internet,T58104,05-05-2015,04-05-2015,19615.30,Mrs. Rashad Heidenreich,Totam et tempore et.,accepted,important;internal
TT Internet,T61736,2013-07-19,2013-07-12,11021.98,Dayna Schultz,Facere at et in ea numquam.,accepted,client;negligible;other;delegation
 ACME,A11151,16-11-2013,16-11-2013,18953.57,Elaina Murray,Laborum sunt illum tempora sunt voluptate.,rejected,""
 SB Komputery,S37183,29-11-2014,22-11-2014,11895.33,Travon Vandervort,"Commodi reprehenderit distinctio et consequuntur quasi.
Quis eos similique.
Ut nostrum omnis minima.
Libero ipsum saepe.",other,""
 Wesoła Gżegżółka,W86888,30-04-2013,28-04-2013,19351.70,Torrance Weber,Hic atque blanditiis.,rejected,client;internal;other
KT Koty,K12378,12/10/2014,12/05/2014,11135.74,Raleigh Daugherty Sr.,Ut saepe commodi culpa corrupti.,other,delegation
MS Szpadel,M1913,01-11-2012,26-10-2012,17748.18,Kevin Flatley,"Illum cumque optio.
Alias iure adipisci voluptatem sed nostrum.
Consequatur deserunt harum est.
Et quam quia.",accepted,""
" Monterail, Inc.",M2689,09-09-2012,06-09-2012,18867.95,Sabrina Jacobs,"Molestiae soluta quaerat dignissimos.
Suscipit optio iste et deserunt minus laboriosam voluptatem.
Architecto est voluptas excepturi quaerat.",rejected,""
 ACME,A20436,10/20/2013,10/18/2013,18309.37,Shyanne Runolfsson I,Aliquid quia qui magnam recusandae qui id.,accepted,""
 Wesoła Gżegżółka,W11894,07/18/2013,07/18/2013,14110.22,Dandre Goyette,"Numquam voluptas inventore nostrum earum ratione et.
Nisi cupiditate iure consequatur enim illo.
Et sapiente et dignissimos facere suscipit velit.
Incidunt rerum sunt nam vero asperiores aliquam assumenda.",other,important;delegation;internal
 KT Koty,K31749,09/21/2013,09/20/2013,14520.75,Lauriane Gutmann,Quas atque eaque nihil voluptatem omnis enim.,other,other;internal;important;delegation;client
 SB Komputery,S19758,05/06/2014,04/27/2014,12387.24,Hyman Klocko,Eaque consectetur voluptatum ut soluta ea.,accepted,Important;other;negligible
TT Internet,T12844,10/14/2012,10/08/2012,16890.91,Alexie Muller,Accusantium explicabo et vel consequatur.,other,negligible;Delegation
"Monterail, Inc.",M99834,09/16/2013,09/09/2013,14537.77,Sean Hickle,Maiores ipsa qui.,other,client;Important;negligible;delegation;Internal
 Wesoła Gżegżółka,W52069,2015-02-15,2015-02-12,11025.87,Emory Osinski III,"Praesentium dolor minus fuga est maiores odio inventore.
Nihil neque quos.
Debitis sit voluptas quis.",accepted,Internal;other
 Company X,C93485,06/10/2014,06/10/2014,19325.37,Mattie Ledner,Quo in reprehenderit accusamus qui facilis incidunt voluptatem.,accepted,""
TT Internet,T1902,08-06-2014,08-06-2014,13467.84,Cindy Boyle,Quod in occaecati sint voluptatem praesentium ad enim.,rejected,delegation
 ACME,A35862,2014-06-08,2014-05-30,19973.50,Burley Goodwin,"Consectetur nostrum est ratione officia neque enim.
Odit quis voluptas cumque.",other,important;delegation;Negligible;client
 TT Internet,T35814,2013-03-10,2013-03-10,17585.58,Hermina Gleason,"Iure est quia velit.
Quidem corporis quia.
Consequuntur autem et consequatur.",rejected,Negligible;Delegation;other;Important;client
 MS Szpadel,M82635,31-03-2014,23-03-2014,19407.93,Mrs. Abner Reichel,"Ut sint officiis rerum voluptas nemo excepturi id.
Hic veniam incidunt consectetur tenetur sunt esse.
Eaque ut dolore commodi necessitatibus et.",accepted,other;Negligible;important;internal
 BP Biznes,B37115,2014-09-10,2014-09-02,11427.21,Dock Stoltenberg,Nam quam amet saepe qui voluptate.,accepted,negligible;client
